Date,Rate
2015-01-31,1.88
2015-02-28,1.98
2015-03-31,2.04
2015-04-30,1.94
2015-05-31,2.2
2015-06-30,2.36
2015-07-31,2.32
2015-08-31,2.17
2015-09-30,2.17
2015-10-31,2.07
2015-11-30,2.26
2015-12-31,2.24
2016-01-31,2.09
2016-02-29,1.78
2016-03-31,1.89
2016-04-30,1.81
2016-05-31,1.81
2016-06-30,1.64
2016-07-31,1.5
2016-08-31,1.56
2016-09-30,1.63
2016-10-31,1.76
2016-11-30,2.14
2016-12-31,2.49
2017-01-31,2.43
2017-02-28,2.42
2017-03-31,2.48
2017-04-30,2.3
2017-05-31,2.3
2017-06-30,2.19
2017-07-31,2.32
2017-08-31,2.21
2017-09-30,2.2
2017-10-31,2.36
2017-11-30,2.35
2017-12-31,2.4
2018-01-31,2.58
2018-02-28,2.86
2018-03-31,2.84
2018-04-30,2.87
2018-05-31,2.98
2018-06-30,2.91
2018-07-31,2.89
2018-08-31,2.89
2018-09-30,3.0
2018-10-31,3.15
2018-11-30,3.12
2018-12-31,2.83
2019-01-31,2.71
2019-02-28,2.68
2019-03-31,2.57
2019-04-30,2.53
2019-05-31,2.4
2019-06-30,2.07
2019-07-31,2.06
2019-08-31,1.63
2019-09-30,1.7
2019-10-31,1.71
2019-11-30,1.81
2019-12-31,1.86
2020-01-31,1.76
2020-02-29,1.5
2020-03-31,0.87
2020-04-30,0.66
2020-05-31,0.67
2020-06-30,0.73
2020-07-31,0.62
